"Date","Host","State","Collection","SiteName","SiteID","Path","Protocol","Port","Header","AuthAnon","AuthBasic","AuthWin","Status","runTime","PipeLineMode","bitEnabled","FileName"
"06202016","VMAEPHQWS210","arra","","arra","54","D:\WebContent\arra","http","80","arra","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","arra","","arra","54","D:\WebContent\arra","http","80","arra.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","assetrecovery","","assetrecovery","13","D:\WebContent\assetrecovery","http","80","assetrecovery-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","assetrecovery","","assetrecovery","13","D:\WebContent\assetrecovery","http","80","assetrecovery","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","assetrecovery","","assetrecovery","13","D:\WebContent\assetrecovery","http","80","assetrecovery.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ats","","ats","55","D:\WebContent\ats","http","80","ats-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ats","","ats","55","D:\WebContent\ats","http","80","ats","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","ats","","ats","55","D:\WebContent\ats","http","80","ats.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","audits","","audits","91","d:\WebContent\audits","http","80","audits","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","aviation","","aviation","56","D:\WebContent\aviation","http","80","aviation-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","aviation","","aviation","56","D:\WebContent\aviation","http","80","aviation","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","aviation","","aviation","56","D:\WebContent\aviation","http","80","aviation.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","bcp","","bcp","57","D:\WebContent\bcp","http","80","bcp-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","bcp","","bcp","57","D:\WebContent\bcp","http","80","bcp","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","bcp","","bcp","57","D:\WebContent\bcp","http","80","bcp.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","bird","","bird","58","D:\WebContent\bird","http","80","bird-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","bird","","bird","58","D:\WebContent\bird","http","80","bird","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","bird","","bird","58","D:\WebContent\bird","http","80","bird.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","businesslogistics","","businesslogistics","14","D:\WebContent\businesslogistics","http","80","businesslogistics-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","businesslogistics","","businesslogistics","14","D:\WebContent\businesslogistics","http","80","businesslogistics","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","businesslogistics","","businesslogistics","14","D:\WebContent\businesslogistics","http","80","businesslogistics.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cafe","","cafe","59","D:\WebContent\cafe","http","80","cafe-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cafe","","cafe","59","D:\WebContent\cafe","http","80","cafe","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cafe","","cafe","59","D:\WebContent\cafe","http","80","cafe.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cds","","cds","86","D:\WebContent\cds","http","80","cds-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cds","","cds","86","D:\WebContent\cds","http","80","cds","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cds","","cds","86","D:\WebContent\cds","http","80","cds.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cellphones","","cellphones","15","D:\WebContent\cellphones","http","80","cellphones-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cellphones","","cellphones","15","D:\WebContent\cellphones","http","80","cellphones","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cellphones","","cellphones","15","D:\WebContent\cellphones","http","80","cellphones.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","centralmachineshop","","centralmachineshop","60","D:\WebContent\centralmachineshop","http","80","centralmachineshop-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","centralmachineshop","","centralmachineshop","60","D:\WebContent\centralmachineshop","http","80","centralmachineshop","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","centralmachineshop","","centralmachineshop","60","D:\WebContent\centralmachineshop","http","80","centralmachineshop.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cmf","","cmf","61","D:\WebContent\cmf","http","80","cmf-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cmf","","cmf","61","D:\WebContent\cmf","http","80","cmf","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cmf","","cmf","61","D:\WebContent\cmf","http","80","cmf.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","community","","community","62","D:\WebContent\community","http","80","community-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","community","","community","62","D:\WebContent\community","http","80","community","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","community","","community","62","D:\WebContent\community","http","80","community.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","coptraining","","coptraining","16","D:\WebContent\coptraining","http","80","coptraining-pr","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","coptraining","","coptraining","16","D:\WebContent\coptraining","http","80","coptraining","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","coptraining","","coptraining","16","D:\WebContent\coptraining","http","80","coptraining.aepsc.com","False","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
"06202016","VMAEPHQWS210","cornerstone","","cornerstone","92","d:\WebContent\cornerstone","http","80","cornerstone","True","False","True","Started","v4.0","Integrated","False","vmaephqws210_WebSiteProperties.csv"
